Date;Humidity (in %);Temperature (in °C)
'2017-12-20T21:00:00Z';0.80;2.4
'2017-12-20T22:00:00Z';0.79;2.3
'2017-12-20T23:00:00Z';0.77;2.6
'2017-12-21T00:00:00Z';0.77;2.7
'2017-12-21T01:00:00Z';0.73;3.2
'2017-12-21T02:00:00Z';0.77;2.6
'2017-12-21T03:00:00Z';0.66;3.2
'2017-12-21T04:00:00Z';0.64;3.6
'2017-12-21T05:00:00Z';0.62;3.8
'2017-12-21T06:00:00Z';0.67;3.5
'2017-12-21T07:00:00Z';0.71;3.6
'2017-12-21T08:00:00Z';0.77;3.5
'2017-12-21T09:00:00Z';0.75;3.9
'2017-12-21T10:00:00Z';0.81;3.6
'2017-12-21T11:00:00Z';0.86;3.2
'2017-12-21T12:00:00Z';0.84;3.5
'2017-12-21T13:00:00Z';0.80;4.4
'2017-12-21T14:00:00Z';0.85;3.9
'2017-12-21T15:00:00Z';0.86;3.9
'2017-12-21T16:00:00Z';0.90;3.6
'2017-12-21T17:00:00Z';0.90;3.8
'2017-12-21T18:00:00Z';0.90;3.7
'2017-12-21T19:00:00Z';0.90;3.8
'2017-12-21T20:00:00Z';0.90;3.8
'2017-12-21T21:00:00Z';0.88;4.1
'2017-12-21T22:00:00Z';0.86;4.3
'2017-12-21T23:00:00Z';0.86;4.2
'2017-12-22T00:00:00Z';0.85;4.1
'2017-12-22T01:00:00Z';0.84;3.9
'2017-12-22T02:00:00Z';0.84;4.0
'2017-12-22T03:00:00Z';0.84;4.3
'2017-12-22T04:00:00Z';0.83;4.9
'2017-12-22T05:00:00Z';0.81;5.2
'2017-12-22T06:00:00Z';0.80;5.6
'2017-12-22T07:00:00Z';0.81;5.6
'2017-12-22T08:00:00Z';0.81;5.6
'2017-12-22T09:00:00Z';0.82;5.8
'2017-12-22T10:00:00Z';0.79;6.5
'2017-12-22T11:00:00Z';0.76;7.1
'2017-12-22T12:00:00Z';0.74;7.6
'2017-12-22T13:00:00Z';0.75;7.6
'2017-12-22T14:00:00Z';0.75;7.8
'2017-12-22T15:00:00Z';0.77;7.3
'2017-12-22T16:00:00Z';0.80;6.8
'2017-12-22T17:00:00Z';0.80;6.6
'2017-12-22T18:00:00Z';0.76;6.6
'2017-12-22T19:00:00Z';0.72;7.3
'2017-12-22T20:00:00Z';0.71;7.3
'2017-12-22T21:00:00Z';0.70;7.4
'2017-12-22T22:00:00Z';0.70;7.2
'2017-12-22T23:00:00Z';0.70;7.3
'2017-12-23T00:00:00Z';0.71;6.9
'2017-12-23T01:00:00Z';0.71;6.7
'2017-12-23T02:00:00Z';0.68;6.4
'2017-12-23T03:00:00Z';0.72;6.0
'2017-12-23T04:00:00Z';0.74;5.6
'2017-12-23T05:00:00Z';0.71;6.1
'2017-12-23T06:00:00Z';0.71;6.4
'2017-12-23T07:00:00Z';0.72;6.4
'2017-12-23T08:00:00Z';0.73;6.5
'2017-12-23T09:00:00Z';0.73;6.8
'2017-12-23T10:00:00Z';0.72;7.4
'2017-12-23T11:00:00Z';0.68;8.0
'2017-12-23T12:00:00Z';0.64;8.2
'2017-12-23T13:00:00Z';0.66;8.5
'2017-12-23T14:00:00Z';0.67;8.8
'2017-12-23T15:00:00Z';0.66;8.9
'2017-12-23T16:00:00Z';0.67;8.9
'2017-12-23T17:00:00Z';0.69;8.8
'2017-12-23T18:00:00Z';0.70;8.8
'2017-12-23T19:00:00Z';0.69;8.8
'2017-12-23T20:00:00Z';0.70;8.9
'2017-12-23T21:00:00Z';0.70;9.1
'2017-12-23T22:00:00Z';0.79;8.2
'2017-12-23T23:00:00Z';0.74;8.6
'2017-12-24T00:00:00Z';0.73;8.7
'2017-12-24T01:00:00Z';0.71;8.8
'2017-12-24T02:00:00Z';0.71;8.6
'2017-12-24T03:00:00Z';0.72;8.2
'2017-12-24T04:00:00Z';0.72;7.9
'2017-12-24T05:00:00Z';0.72;7.8
'2017-12-24T06:00:00Z';0.72;7.5
'2017-12-24T07:00:00Z';0.71;7.4
'2017-12-24T08:00:00Z';0.70;7.4
'2017-12-24T09:00:00Z';0.70;7.6
'2017-12-24T10:00:00Z';0.70;7.5
'2017-12-24T11:00:00Z';0.66;8.6
'2017-12-24T12:00:00Z';0.63;9.1
'2017-12-24T13:00:00Z';0.62;9.3
'2017-12-24T14:00:00Z';0.64;9.0
'2017-12-24T15:00:00Z';0.69;7.5
'2017-12-24T16:00:00Z';0.69;7.5
'2017-12-24T17:00:00Z';0.72;6.8
'2017-12-24T18:00:00Z';0.72;6.8
'2017-12-24T19:00:00Z';0.72;6.7
'2017-12-24T20:00:00Z';0.69;7.0
'2017-12-24T21:00:00Z';0.71;6.9
'2017-12-24T22:00:00Z';0.73;6.4
'2017-12-24T23:00:00Z';0.73;6.3
'2017-12-25T00:00:00Z';0.76;5.7
'2017-12-25T01:00:00Z';0.79;4.9
'2017-12-25T02:00:00Z';0.82;4.3
'2017-12-25T03:00:00Z';0.82;4.2
'2017-12-25T04:00:00Z';0.82;3.9
'2017-12-25T05:00:00Z';0.82;3.5
'2017-12-25T06:00:00Z';0.83;3.3
'2017-12-25T07:00:00Z';0.90;1.8
'2017-12-25T08:00:00Z';0.92;1.2
'2017-12-25T09:00:00Z';0.88;2.1
'2017-12-25T10:00:00Z';0.75;4.7
'2017-12-25T11:00:00Z';0.70;5.8
'2017-12-25T12:00:00Z';0.67;6.6
'2017-12-25T13:00:00Z';0.66;7.8
'2017-12-25T14:00:00Z';0.65;8.1
'2017-12-25T15:00:00Z';0.70;7.1
'2017-12-25T16:00:00Z';0.74;6.5
'2017-12-25T17:00:00Z';0.82;4.6
'2017-12-25T18:00:00Z';0.86;3.4
'2017-12-25T19:00:00Z';0.88;3.1
'2017-12-25T20:00:00Z';0.91;2.1
'2017-12-25T21:00:00Z';0.93;1.3
'2017-12-25T22:00:00Z';0.95;0.7
'2017-12-25T23:00:00Z';0.95;0.4
'2017-12-26T00:00:00Z';0.96;1.0
'2017-12-26T01:00:00Z';0.96;2.0
'2017-12-26T02:00:00Z';0.95;2.1
'2017-12-26T03:00:00Z';0.96;1.4
'2017-12-26T04:00:00Z';0.97;0.8
'2017-12-26T05:00:00Z';0.98;0.7
'2017-12-26T06:00:00Z';0.96;1.0
'2017-12-26T07:00:00Z';0.95;1.3
'2017-12-26T08:00:00Z';0.95;1.3
'2017-12-26T09:00:00Z';0.96;1.1
'2017-12-26T10:00:00Z';0.96;1.2
'2017-12-26T11:00:00Z';0.95;1.4
'2017-12-26T12:00:00Z';0.90;2.0
'2017-12-26T13:00:00Z';0.88;2.3
'2017-12-26T14:00:00Z';0.88;2.4
'2017-12-26T15:00:00Z';0.85;2.3
'2017-12-26T16:00:00Z';0.87;2.1
'2017-12-26T17:00:00Z';0.90;1.7
'2017-12-26T18:00:00Z';0.90;2.0
'2017-12-26T19:00:00Z';0.91;1.3
'2017-12-26T20:00:00Z';0.92;1.1
'2017-12-26T21:00:00Z';0.91;1.0
'2017-12-26T22:00:00Z';0.92;0.4
'2017-12-26T23:00:00Z';0.94;0.1
'2017-12-27T00:00:00Z';0.94;0.2
'2017-12-27T01:00:00Z';0.97;0.2
'2017-12-27T02:00:00Z';0.97;0.4
'2017-12-27T03:00:00Z';0.97;0.0
'2017-12-27T04:00:00Z';0.98;0.2
'2017-12-27T05:00:00Z';0.99;0.8
'2017-12-27T06:00:00Z';1.00;0.7
'2017-12-27T07:00:00Z';1.00;0.3
'2017-12-27T08:00:00Z';1.00;0.4
'2017-12-27T09:00:00Z';1.00;0.8
'2017-12-27T10:00:00Z';0.98;0.9
'2017-12-27T11:00:00Z';0.95;2.2
'2017-12-27T12:00:00Z';0.87;3.8
'2017-12-27T13:00:00Z';0.77;7.1
'2017-12-27T14:00:00Z';0.70;9.1
'2017-12-27T15:00:00Z';0.70;8.8
'2017-12-27T16:00:00Z';0.69;9.0
'2017-12-27T17:00:00Z';0.68;9.1
'2017-12-27T18:00:00Z';0.70;9.1
'2017-12-27T19:00:00Z';0.71;9.2
'2017-12-27T20:00:00Z';0.72;9.2
'2017-12-27T21:00:00Z';0.67;9.6
'2017-12-27T22:00:00Z';0.65;9.7
'2017-12-27T23:00:00Z';0.67;9.2
'2017-12-28T00:00:00Z';0.66;9.5
'2017-12-28T01:00:00Z';0.66;9.2
'2017-12-28T02:00:00Z';0.68;8.8
'2017-12-28T03:00:00Z';0.67;8.9
'2017-12-28T04:00:00Z';0.68;8.7
'2017-12-28T05:00:00Z';0.87;3.9
'2017-12-28T06:00:00Z';0.87;3.5
'2017-12-28T07:00:00Z';0.84;3.8
'2017-12-28T08:00:00Z';0.82;3.9
'2017-12-28T09:00:00Z';0.82;3.8
'2017-12-28T10:00:00Z';0.77;4.2
'2017-12-28T11:00:00Z';0.74;5.1
'2017-12-28T12:00:00Z';0.72;5.4
'2017-12-28T13:00:00Z';0.68;5.5
'2017-12-28T14:00:00Z';0.70;5.5
'2017-12-28T15:00:00Z';0.70;5.2
'2017-12-28T16:00:00Z';0.72;4.8
'2017-12-28T17:00:00Z';0.75;4.6
'2017-12-28T18:00:00Z';0.87;3.3
'2017-12-28T19:00:00Z';0.91;2.3
'2017-12-28T20:00:00Z';0.91;2.1
'2017-12-28T21:00:00Z';0.92;1.8
'2017-12-28T22:00:00Z';0.91;2.1
'2017-12-28T23:00:00Z';0.90;2.2
'2017-12-29T00:00:00Z';0.86;2.3
'2017-12-29T01:00:00Z';0.84;2.3
'2017-12-29T02:00:00Z';0.83;2.3
'2017-12-29T03:00:00Z';0.75;2.5
'2017-12-29T04:00:00Z';0.65;2.3
'2017-12-29T05:00:00Z';0.63;2.0
'2017-12-29T06:00:00Z';0.67;1.7
'2017-12-29T07:00:00Z';0.66;1.7
'2017-12-29T08:00:00Z';0.72;1.3
'2017-12-29T09:00:00Z';0.70;1.6
'2017-12-29T10:00:00Z';0.70;1.7
'2017-12-29T11:00:00Z';0.65;2.7
'2017-12-29T12:00:00Z';0.61;3.3
'2017-12-29T13:00:00Z';0.57;3.6
'2017-12-29T14:00:00Z';0.56;4.2
'2017-12-29T15:00:00Z';0.60;2.8
'2017-12-29T16:00:00Z';0.65;1.7
'2017-12-29T17:00:00Z';0.67;0.9
'2017-12-29T18:00:00Z';0.68;0.5
'2017-12-29T19:00:00Z';0.73;-0.4
'2017-12-29T20:00:00Z';0.80;-1.2
'2017-12-29T21:00:00Z';0.82;-1.6
'2017-12-29T22:00:00Z';0.85;-2.2
'2017-12-29T23:00:00Z';0.81;-2.3
'2017-12-30T00:00:00Z';0.80;-2.6
'2017-12-30T01:00:00Z';0.76;-2.5
'2017-12-30T02:00:00Z';0.75;-1.8
'2017-12-30T03:00:00Z';0.72;-1.2
'2017-12-30T04:00:00Z';0.70;-0.7
'2017-12-30T05:00:00Z';0.75;-0.8
'2017-12-30T06:00:00Z';0.76;-0.7
'2017-12-30T07:00:00Z';0.73;-0.1
'2017-12-30T08:00:00Z';0.72;0.3
'2017-12-30T09:00:00Z';0.73;0.7
'2017-12-30T10:00:00Z';0.79;0.5
'2017-12-30T11:00:00Z';0.77;1.2
'2017-12-30T12:00:00Z';0.72;2.4
'2017-12-30T13:00:00Z';0.73;3.6
'2017-12-30T14:00:00Z';0.69;4.5
'2017-12-30T15:00:00Z';0.78;3.5
'2017-12-30T16:00:00Z';0.73;2.8
'2017-12-30T17:00:00Z';0.76;2.0
'2017-12-30T18:00:00Z';0.79;2.0
'2017-12-30T19:00:00Z';0.92;1.5
'2017-12-30T20:00:00Z';0.94;1.7
'2017-12-30T21:00:00Z';0.94;2.1
'2017-12-30T22:00:00Z';0.95;2.2
'2017-12-30T23:00:00Z';0.95;2.6
'2017-12-31T00:00:00Z';0.95;2.8
'2017-12-31T01:00:00Z';0.96;3.0
'2017-12-31T02:00:00Z';0.96;3.3
'2017-12-31T03:00:00Z';0.97;4.3
'2017-12-31T04:00:00Z';0.98;4.6
'2017-12-31T05:00:00Z';0.98;4.6
'2017-12-31T06:00:00Z';0.89;10.0
'2017-12-31T07:00:00Z';0.95;5.7
'2017-12-31T08:00:00Z';0.96;6.6
'2017-12-31T09:00:00Z';0.80;10.4
'2017-12-31T10:00:00Z';0.72;11.4
'2017-12-31T11:00:00Z';0.66;12.2
'2017-12-31T12:00:00Z';0.62;12.5
'2017-12-31T13:00:00Z';0.58;13.5
'2017-12-31T14:00:00Z';0.51;14.5
'2017-12-31T15:00:00Z';0.52;13.8
'2017-12-31T16:00:00Z';0.53;13.4
'2017-12-31T17:00:00Z';0.59;12.0
'2017-12-31T18:00:00Z';0.64;10.7
'2017-12-31T19:00:00Z';0.77;7.9
'2017-12-31T20:00:00Z';0.79;7.3
'2017-12-31T21:00:00Z';0.81;6.7
'2017-12-31T22:00:00Z';0.86;5.5
'2017-12-31T23:00:00Z';0.90;4.2
'2018-01-01T00:00:00Z';0.88;3.6
'2018-01-01T01:00:00Z';0.88;3.3
'2018-01-01T02:00:00Z';0.92;2.5
'2018-01-01T03:00:00Z';0.93;2.6
'2018-01-01T04:00:00Z';0.94;2.3
'2018-01-01T05:00:00Z';0.94;2.6
'2018-01-01T06:00:00Z';0.96;2.5
'2018-01-01T07:00:00Z';0.96;2.5
'2018-01-01T08:00:00Z';0.96;2.5
'2018-01-01T09:00:00Z';0.97;2.4
'2018-01-01T10:00:00Z';0.91;3.8
'2018-01-01T11:00:00Z';0.70;8.7
'2018-01-01T12:00:00Z';0.62;9.0
'2018-01-01T13:00:00Z';0.62;9.1
'2018-01-01T14:00:00Z';0.62;8.9
'2018-01-01T15:00:00Z';0.60;8.8
'2018-01-01T16:00:00Z';0.58;8.9
'2018-01-01T17:00:00Z';0.59;8.6
'2018-01-01T18:00:00Z';0.65;7.4
'2018-01-01T19:00:00Z';0.68;6.6
'2018-01-01T20:00:00Z';0.69;6.4
'2018-01-01T21:00:00Z';0.72;5.6
'2018-01-01T22:00:00Z';0.76;4.5
'2018-01-01T23:00:00Z';0.80;3.7
'2018-01-02T00:00:00Z';0.83;2.9
'2018-01-02T01:00:00Z';0.83;3.2
'2018-01-02T02:00:00Z';0.87;2.4
'2018-01-02T03:00:00Z';0.88;2.0
'2018-01-02T04:00:00Z';0.88;2.5
'2018-01-02T05:00:00Z';0.87;3.0
'2018-01-02T06:00:00Z';0.88;2.6
'2018-01-02T07:00:00Z';0.68;6.7
'2018-01-02T08:00:00Z';0.67;6.5
'2018-01-02T09:00:00Z';0.64;7.2
'2018-01-02T10:00:00Z';0.59;8.1
'2018-01-02T11:00:00Z';0.58;8.2
'2018-01-02T12:00:00Z';0.58;8.2
'2018-01-02T13:00:00Z';0.59;8.2
'2018-01-02T14:00:00Z';0.60;8.0
'2018-01-02T15:00:00Z';0.64;7.6
'2018-01-02T16:00:00Z';0.67;6.6
'2018-01-02T17:00:00Z';0.70;5.9
'2018-01-02T18:00:00Z';0.76;5.5
'2018-01-02T19:00:00Z';0.74;5.7
'2018-01-02T20:00:00Z';0.76;5.4
'2018-01-02T21:00:00Z';0.76;5.3
'2018-01-02T22:00:00Z';0.84;4.8
'2018-01-02T23:00:00Z';0.81;4.5
'2018-01-03T00:00:00Z';0.80;4.0
'2018-01-03T01:00:00Z';0.78;3.9
'2018-01-03T02:00:00Z';0.81;2.9
'2018-01-03T03:00:00Z';0.84;2.0
'2018-01-03T04:00:00Z';0.87;1.4
'2018-01-03T05:00:00Z';0.86;1.5
'2018-01-03T06:00:00Z';0.85;1.1
'2018-01-03T07:00:00Z';0.78;1.5
'2018-01-03T08:00:00Z';0.70;2.5
'2018-01-03T09:00:00Z';0.66;3.1
'2018-01-03T10:00:00Z';0.81;3.0
'2018-01-03T11:00:00Z';0.80;3.0
'2018-01-03T12:00:00Z';0.75;4.4
'2018-01-03T13:00:00Z';0.71;4.9
'2018-01-03T14:00:00Z';0.88;4.2
'2018-01-03T15:00:00Z';0.80;7.8
'2018-01-03T16:00:00Z';0.74;7.4
'2018-01-03T17:00:00Z';0.72;7.1
'2018-01-03T18:00:00Z';0.69;6.9
'2018-01-03T19:00:00Z';0.69;6.7
'2018-01-03T20:00:00Z';0.68;6.7
'2018-01-03T21:00:00Z';0.67;6.8
'2018-01-03T22:00:00Z';0.64;7.1
'2018-01-03T23:00:00Z';0.60;7.5
'2018-01-04T00:00:00Z';0.58;7.7
'2018-01-04T01:00:00Z';0.59;7.9
'2018-01-04T02:00:00Z';0.57;8.0
'2018-01-04T03:00:00Z';0.57;7.6
'2018-01-04T04:00:00Z';0.61;7.4
'2018-01-04T05:00:00Z';0.62;7.2
'2018-01-04T06:00:00Z';0.61;7.2
'2018-01-04T07:00:00Z';0.62;7.2
'2018-01-04T08:00:00Z';0.62;7.4
'2018-01-04T09:00:00Z';0.59;7.9
'2018-01-04T10:00:00Z';0.55;8.7
'2018-01-04T11:00:00Z';0.53;9.6
'2018-01-04T12:00:00Z';0.55;9.4
'2018-01-04T13:00:00Z';0.54;9.5
'2018-01-04T14:00:00Z';0.56;9.1
'2018-01-04T15:00:00Z';0.59;8.8
'2018-01-04T16:00:00Z';0.60;8.3
'2018-01-04T17:00:00Z';0.64;7.9
'2018-01-04T18:00:00Z';0.68;7.1
'2018-01-04T19:00:00Z';0.70;6.8
'2018-01-04T20:00:00Z';0.72;6.6
'2018-01-04T21:00:00Z';0.74;6.1
'2018-01-04T22:00:00Z';0.80;6.0
'2018-01-04T23:00:00Z';0.92;5.5
'2018-01-05T00:00:00Z';0.94;5.6
'2018-01-05T01:00:00Z';0.93;5.6
'2018-01-05T02:00:00Z';0.96;5.5
'2018-01-05T03:00:00Z';0.97;5.1
'2018-01-05T04:00:00Z';0.97;5.2
'2018-01-05T05:00:00Z';0.97;5.0
'2018-01-05T06:00:00Z';0.82;9.2
'2018-01-05T07:00:00Z';0.74;9.3
'2018-01-05T08:00:00Z';0.68;9.3
'2018-01-05T09:00:00Z';0.70;9.3
'2018-01-05T10:00:00Z';0.59;10.6
'2018-01-05T11:00:00Z';0.60;11.1
'2018-01-05T12:00:00Z';0.62;11.9
'2018-01-05T13:00:00Z';0.63;11.8
'2018-01-05T14:00:00Z';0.65;10.9
'2018-01-05T15:00:00Z';0.72;9.9
'2018-01-05T16:00:00Z';0.77;8.9
'2018-01-05T17:00:00Z';0.78;8.0
'2018-01-05T18:00:00Z';0.80;7.6
'2018-01-05T19:00:00Z';0.83;6.9
'2018-01-05T20:00:00Z';0.85;6.6
'2018-01-05T21:00:00Z';0.88;6.2
'2018-01-05T22:00:00Z';0.89;6.2
'2018-01-05T23:00:00Z';0.92;5.3
'2018-01-06T00:00:00Z';0.94;4.6
'2018-01-06T01:00:00Z';0.96;3.5
'2018-01-06T02:00:00Z';0.96;3.6
'2018-01-06T03:00:00Z';0.96;3.4
'2018-01-06T04:00:00Z';0.96;3.8
'2018-01-06T05:00:00Z';0.96;3.6
'2018-01-06T06:00:00Z';0.97;2.4
'2018-01-06T07:00:00Z';0.97;2.8
'2018-01-06T08:00:00Z';0.97;3.2
'2018-01-06T09:00:00Z';0.96;5.1
'2018-01-06T10:00:00Z';0.92;6.5
'2018-01-06T11:00:00Z';0.89;6.9
'2018-01-06T12:00:00Z';0.87;7.5
'2018-01-06T13:00:00Z';0.82;8.2
'2018-01-06T14:00:00Z';0.90;7.1
'2018-01-06T15:00:00Z';0.91;7.1
'2018-01-06T16:00:00Z';0.92;7.1
'2018-01-06T17:00:00Z';0.96;6.5
'2018-01-06T18:00:00Z';0.96;6.6
'2018-01-06T19:00:00Z';0.94;6.8
'2018-01-06T20:00:00Z';0.94;6.9
'2018-01-06T21:00:00Z';0.95;7.0
'2018-01-06T22:00:00Z';0.93;7.1
'2018-01-06T23:00:00Z';0.91;7.0
'2018-01-07T00:00:00Z';0.90;6.8
'2018-01-07T01:00:00Z';0.89;6.7
'2018-01-07T02:00:00Z';0.89;6.7
'2018-01-07T03:00:00Z';0.90;6.9
'2018-01-07T04:00:00Z';0.90;6.7
'2018-01-07T05:00:00Z';0.90;6.8
'2018-01-07T06:00:00Z';0.90;7.0
'2018-01-07T07:00:00Z';0.91;6.9
'2018-01-07T08:00:00Z';0.91;6.9
'2018-01-07T09:00:00Z';0.90;7.2
'2018-01-07T10:00:00Z';0.88;7.6
'2018-01-07T11:00:00Z';0.86;8.0
'2018-01-07T12:00:00Z';0.86;8.3
'2018-01-07T13:00:00Z';0.84;8.7
'2018-01-07T14:00:00Z';0.85;8.4
'2018-01-07T15:00:00Z';0.86;8.4
'2018-01-07T16:00:00Z';0.87;8.3
'2018-01-07T17:00:00Z';0.88;8.3
'2018-01-07T18:00:00Z';0.89;8.0
'2018-01-07T19:00:00Z';0.86;7.5
'2018-01-07T20:00:00Z';0.86;7.0
'2018-01-07T21:00:00Z';0.90;6.3
'2018-01-07T22:00:00Z';0.94;6.0
'2018-01-07T23:00:00Z';0.96;5.8
'2018-01-08T00:00:00Z';0.97;5.6
'2018-01-08T01:00:00Z';0.97;5.6
'2018-01-08T02:00:00Z';0.98;5.6
'2018-01-08T03:00:00Z';0.98;5.7
'2018-01-08T04:00:00Z';0.98;5.7
'2018-01-08T05:00:00Z';0.98;5.5
'2018-01-08T06:00:00Z';0.98;5.3
'2018-01-08T07:00:00Z';0.98;5.5
'2018-01-08T08:00:00Z';0.98;5.4
'2018-01-08T09:00:00Z';0.98;5.3
'2018-01-08T10:00:00Z';0.98;5.4
'2018-01-08T11:00:00Z';0.98;5.5
'2018-01-08T12:00:00Z';0.98;5.4
'2018-01-08T13:00:00Z';0.98;5.0
'2018-01-08T14:00:00Z';0.98;5.1
'2018-01-08T15:00:00Z';0.98;5.0
'2018-01-08T16:00:00Z';0.98;4.6
'2018-01-08T17:00:00Z';0.98;4.4
'2018-01-08T18:00:00Z';0.98;4.4
'2018-01-08T19:00:00Z';0.98;4.2
'2018-01-08T20:00:00Z';0.98;4.4
'2018-01-08T21:00:00Z';0.99;4.6
'2018-01-08T22:00:00Z';0.99;5.1
'2018-01-08T23:00:00Z';1.00;5.8
'2018-01-09T00:00:00Z';0.99;6.1
'2018-01-09T01:00:00Z';0.99;6.1
'2018-01-09T02:00:00Z';0.99;6.1
'2018-01-09T03:00:00Z';0.99;6.3
'2018-01-09T04:00:00Z';0.99;6.2
'2018-01-09T05:00:00Z';0.97;6.5
'2018-01-09T06:00:00Z';0.95;6.4
'2018-01-09T07:00:00Z';0.95;6.3
'2018-01-09T08:00:00Z';0.95;6.2
'2018-01-09T09:00:00Z';0.94;6.1
'2018-01-09T10:00:00Z';0.93;6.1
'2018-01-09T11:00:00Z';0.92;5.7
'2018-01-09T12:00:00Z';0.90;6.1
'2018-01-09T13:00:00Z';0.90;6.3
'2018-01-09T14:00:00Z';0.86;6.9
'2018-01-09T15:00:00Z';0.86;6.7
'2018-01-09T16:00:00Z';0.85;6.6
'2018-01-09T17:00:00Z';0.84;6.7
'2018-01-09T18:00:00Z';0.83;6.6
'2018-01-09T19:00:00Z';0.84;6.3
'2018-01-09T20:00:00Z';0.85;6.2
'2018-01-09T21:00:00Z';0.88;6.4
'2018-01-09T22:00:00Z';0.89;6.3
'2018-01-09T23:00:00Z';0.90;6.4
'2018-01-10T00:00:00Z';0.90;6.4
'2018-01-10T01:00:00Z';0.91;6.5
'2018-01-10T02:00:00Z';0.91;6.3
'2018-01-10T03:00:00Z';0.92;5.7
'2018-01-10T04:00:00Z';0.95;5.3
'2018-01-10T05:00:00Z';0.96;4.7
'2018-01-10T06:00:00Z';0.96;4.5
'2018-01-10T07:00:00Z';0.96;4.2
'2018-01-10T08:00:00Z';0.96;4.1
'2018-01-10T09:00:00Z';0.96;4.0
'2018-01-10T10:00:00Z';0.96;3.7
'2018-01-10T11:00:00Z';0.96;3.5
'2018-01-10T12:00:00Z';0.96;3.5
'2018-01-10T13:00:00Z';0.96;3.3
'2018-01-10T14:00:00Z';0.96;3.5
'2018-01-10T15:00:00Z';0.96;3.6
'2018-01-10T16:00:00Z';0.96;3.7
'2018-01-10T17:00:00Z';0.96;3.7
'2018-01-10T18:00:00Z';0.96;3.8
'2018-01-10T19:00:00Z';0.96;3.9
'2018-01-10T20:00:00Z';0.96;4.1
'2018-01-10T21:00:00Z';0.96;4.1
'2018-01-10T22:00:00Z';0.95;4.0
'2018-01-10T23:00:00Z';0.94;3.9
'2018-01-11T00:00:00Z';0.96;2.9
'2018-01-11T01:00:00Z';0.97;2.4
'2018-01-11T02:00:00Z';0.98;1.9
'2018-01-11T03:00:00Z';0.98;2.7
'2018-01-11T04:00:00Z';0.98;2.9
'2018-01-11T05:00:00Z';0.97;3.2
'2018-01-11T06:00:00Z';0.98;3.2
'2018-01-11T07:00:00Z';0.98;3.2
'2018-01-11T08:00:00Z';0.97;3.6
'2018-01-11T09:00:00Z';0.91;4.4
'2018-01-11T10:00:00Z';0.85;5.6
'2018-01-11T11:00:00Z';0.77;7.2
'2018-01-11T12:00:00Z';0.75;7.6
'2018-01-11T13:00:00Z';0.73;7.5
'2018-01-11T14:00:00Z';0.78;7.0
'2018-01-11T15:00:00Z';0.82;6.8
'2018-01-11T16:00:00Z';0.83;6.4
'2018-01-11T17:00:00Z';0.86;5.7
'2018-01-11T18:00:00Z';0.83;5.8
'2018-01-11T19:00:00Z';0.82;5.4
'2018-01-11T20:00:00Z';0.81;5.3
'2018-01-11T21:00:00Z';0.82;5.0
'2018-01-11T22:00:00Z';0.83;5.0
'2018-01-11T23:00:00Z';0.82;5.4
'2018-01-12T00:00:00Z';0.85;4.6
'2018-01-12T01:00:00Z';0.84;4.9
'2018-01-12T02:00:00Z';0.83;4.9
'2018-01-12T03:00:00Z';0.83;4.9
'2018-01-12T04:00:00Z';0.82;5.0
'2018-01-12T05:00:00Z';0.82;5.2
'2018-01-12T06:00:00Z';0.82;5.2
'2018-01-12T07:00:00Z';0.82;5.2
'2018-01-12T08:00:00Z';0.82;5.3
'2018-01-12T09:00:00Z';0.82;5.3
'2018-01-12T10:00:00Z';0.82;5.4
'2018-01-12T11:00:00Z';0.81;5.6
'2018-01-12T12:00:00Z';0.82;5.5
'2018-01-12T13:00:00Z';0.81;5.6
'2018-01-12T14:00:00Z';0.83;5.3
'2018-01-12T15:00:00Z';0.79;5.3
'2018-01-12T16:00:00Z';0.80;4.9
'2018-01-12T17:00:00Z';0.81;4.6
'2018-01-12T18:00:00Z';0.84;4.0
'2018-01-12T19:00:00Z';0.89;3.6
'2018-01-12T20:00:00Z';0.87;3.5
'2018-01-12T21:00:00Z';0.86;3.5
'2018-01-12T22:00:00Z';0.84;3.2
'2018-01-12T23:00:00Z';0.85;3.2
'2018-01-13T00:00:00Z';0.85;2.5
'2018-01-13T01:00:00Z';0.92;2.0
'2018-01-13T02:00:00Z';0.89;2.1
'2018-01-13T03:00:00Z';0.88;2.0
'2018-01-13T04:00:00Z';0.88;1.7
'2018-01-13T05:00:00Z';0.91;1.1
'2018-01-13T06:00:00Z';0.91;1.0
'2018-01-13T07:00:00Z';0.90;1.0
'2018-01-13T08:00:00Z';0.91;1.0
'2018-01-13T09:00:00Z';0.92;1.0
'2018-01-13T10:00:00Z';0.93;1.1
'2018-01-13T11:00:00Z';0.92;0.9
'2018-01-13T12:00:00Z';0.94;1.0
'2018-01-13T13:00:00Z';0.95;0.9
'2018-01-13T14:00:00Z';0.96;0.8
'2018-01-13T15:00:00Z';0.96;1.0
'2018-01-13T16:00:00Z';0.97;1.0
'2018-01-13T17:00:00Z';0.98;1.3
'2018-01-13T18:00:00Z';0.98;1.3
'2018-01-13T19:00:00Z';0.96;1.3
'2018-01-13T20:00:00Z';0.95;1.3
'2018-01-13T21:00:00Z';0.94;1.3
'2018-01-13T22:00:00Z';0.94;1.2
'2018-01-13T23:00:00Z';0.94;1.1
'2018-01-14T00:00:00Z';0.90;1.1
'2018-01-14T01:00:00Z';0.89;1.0
